Country,GDP_Growth_%,Inflation_Rate_%,Unemployment_Rate_%,Literacy_Rate_%,Life_Expectancy,Human_Development_Index,Internet_Users_%,AI_Development_Score,Innovation_Index
Afghanistan,7.51,0.52,9.28,99.61,74.9,0.51,86.96,23,66.76
Albania,0.23,3.01,10.47,55.21,60.9,0.75,66.32,38,40.16
Algeria,6.62,0.42,10.16,99.28,82.6,0.66,72.35,31,22.41
Andorra,-1.51,0.46,6.44,70.76,57.3,0.67,30.74,38,69.69
Angola,-0.74,8.79,12.35,75.32,59.3,0.95,91.93,71,58.24
Antigua and Barbuda,5.58,1.72,10.92,54.75,74.3,0.51,72.35,55,43.69
Argentina,6.98,2.05,8.38,68.38,84.4,0.38,35.14,23,15.19
Armenia,-1.79,4.45,9.55,62.46,61.8,0.9,93.27,33,65.44
Australia,2.82,6.77,13.17,94.42,84.1,0.48,82.49,77,75.32
Austria,-1.42,8.42,7.86,92.66,77.8,0.84,30.01,23,37.77
Azerbaijan,6.93,9.25,4.58,67.45,58.1,0.84,87.59,40,69.36
Bahamas,-0.78,7.82,5.22,85.24,64.2,0.57,42.38,51,46.2
Bahrain,5.98,3.41,6.25,65.33,77.4,0.42,42.52,20,19.97
Bangladesh,-0.97,5.6,4.84,73.55,83.4,0.47,94.81,23,55.5
Barbados,-0.97,3.15,3.23,89.43,81.7,0.45,62.24,65,69.68
Belarus,0.03,0.14,2.18,86.26,78.5,0.77,94.72,16,65.61
Belgium,4.56,4.83,14.34,93.55,67.3,0.54,45.76,80,35.69
Belize,3.38,0.84,4.81,85.61,64.7,0.82,67.88,42,23.49
Benin,2.69,9.1,8.95,86.51,56.6,0.56,30.56,95,79.03
Bhutan,7.58,5.13,7.58,61.14,80.1,0.49,51.7,68,54.75
Bolivia,2.77,0.26,11.07,77.44,57.6,0.39,50.11,26,83.39
Bosnia and Herzegovina,-1.97,4.88,14.61,97.88,55.2,0.43,69.58,24,25.16
Botswana,3.32,4.35,11.81,55.72,71.5,0.82,85.9,97,52.33
Brazil,-1.18,5.21,2.18,60.15,62.8,0.77,37.44,80,36.69
Brunei,3.68,7.01,7.27,62.36,63.7,0.86,34.76,85,31.63
Bulgaria,7.86,2.75,7.44,73.92,62.3,0.38,57.13,57,87.13
Burkina Faso,5.53,5.06,12.87,58.31,70.8,0.68,59.87,89,38.87
Burundi,1.56,9.43,4.19,74.56,63.5,0.45,56.93,74,30.58
Cambodia,1.06,7.51,3.94,51.39,77.3,0.75,78.29,91,70.09
Cameroon,3.13,4.21,4.53,78.01,81.7,0.83,36.15,63,28.4
Canada,2.99,2.14,10.71,97.67,70.6,0.42,40.57,31,58.31
Cape Verde,3.17,6.99,10.79,94.99,56.6,0.53,93.29,45,39.15
Central African Republic,-0.38,6.81,13.91,61.23,75.0,0.83,58.17,39,79.2
Chad,4.22,5.47,6.19,67.26,83.1,0.41,74.88,29,76.8
Chile,3.73,1.23,3.17,98.33,73.7,0.65,59.31,44,89.37
China,6.55,5.31,13.27,66.66,55.7,0.48,92.12,42,21.14
Colombia,-1.24,3.62,8.92,97.04,73.4,0.55,92.3,53,58.86
Comoros,-1.84,0.49,8.71,80.09,84.7,0.84,84.41,38,16.08
Congo,6.71,3.06,2.46,54.06,75.4,0.61,72.0,11,66.36
Costa Rica,7.87,2.9,3.06,64.16,57.2,0.66,73.3,33,28.82
Croatia,4.34,9.77,9.57,64.99,63.7,0.41,74.89,95,50.55
Cuba,4.89,0.55,5.4,88.3,69.1,0.5,42.89,38,63.81
Cyprus,1.16,5.07,5.31,88.7,62.5,0.36,87.35,33,55.08
Czech Republic,3.86,0.37,8.15,75.29,58.8,0.73,64.84,47,61.45
Denmark,2.83,8.19,11.96,79.82,77.5,0.54,89.6,73,60.95
Djibouti,-1.63,9.09,3.92,89.91,57.3,0.54,69.63,55,81.33
Dominica,2.75,6.01,3.49,80.31,61.1,0.73,86.75,24,31.59
Dominican Republic,2.44,8.23,6.85,63.95,58.1,0.6,35.51,45,41.4
Ecuador,4.36,8.58,2.94,75.8,80.4,0.38,78.42,25,39.65
Egypt,3.1,4.99,10.5,95.53,56.0,0.47,60.4,69,89.71
El Salvador,1.69,2.3,12.04,72.03,67.3,0.42,74.11,91,58.19
Equatorial Guinea,3.33,6.39,14.63,51.04,84.3,0.63,46.66,56,76.14
Eritrea,5.99,2.89,9.06,87.76,62.0,0.65,51.86,47,83.6
Estonia,-1.14,5.21,4.02,78.54,81.8,0.5,89.66,54,32.83
Eswatini,5.45,8.99,2.87,70.47,58.9,0.36,34.15,79,31.79
Ethiopia,2.88,3.1,10.88,78.06,55.6,0.6,72.16,21,41.67
Fiji,-1.29,3.02,14.58,88.79,64.1,0.45,63.12,40,49.3
Finland,1.19,7.21,4.43,60.35,80.6,0.67,63.56,51,82.44
France,5.56,3.93,14.21,67.96,81.5,0.47,66.28,99,21.43
Gabon,2.74,2.41,9.99,86.93,73.0,0.43,79.17,95,29.98
Gambia,6.96,4.34,6.13,91.74,80.1,0.87,55.39,88,24.67
Georgia,4.91,5.44,14.96,53.48,68.0,0.43,40.18,52,24.04
Germany,1.94,8.51,14.95,94.31,60.9,0.38,67.55,54,75.5
Ghana,7.33,5.08,13.06,54.61,69.5,0.5,70.86,30,33.91
Greece,5.14,9.02,6.26,59.75,55.5,0.83,34.72,58,24.74
Grenada,5.84,1.37,2.79,92.39,58.0,0.45,48.71,32,15.21
Guatemala,-1.62,8.51,2.26,53.3,78.5,0.47,31.17,29,54.66
Guinea,0.36,2.89,14.34,74.74,59.2,0.59,31.76,56,46.63
Guinea-Bissau,-1.56,7.89,13.14,72.39,76.6,0.83,77.64,25,15.19
Guyana,6.24,2.59,4.52,73.38,76.9,0.45,51.07,27,57.49
Haiti,0.43,6.93,4.11,93.66,70.8,0.5,44.54,47,17.89
Honduras,3.06,4.18,13.07,51.62,60.9,0.81,87.08,34,35.22
Hungary,1.28,9.92,4.14,70.88,69.4,0.57,79.96,15,52.3
Iceland,7.05,2.48,10.0,92.86,76.5,0.58,45.12,10,42.53
India,-1.15,6.97,4.26,92.59,70.7,0.38,56.72,48,44.2
Indonesia,1.56,1.82,12.98,59.88,74.5,0.71,36.64,44,39.29
Iran,3.66,3.24,9.7,85.93,63.1,0.37,61.57,31,37.65
Iraq,5.55,3.25,3.13,99.94,83.0,0.81,87.79,79,43.16
Ireland,7.86,2.8,7.48,73.75,70.0,0.63,83.02,37,79.74
Israel,-1.54,4.06,3.77,98.67,59.1,0.89,55.12,41,89.92
Italy,3.9,2.29,6.04,65.22,63.1,0.57,43.2,45,52.65
Jamaica,5.97,9.61,6.56,95.52,62.9,0.36,81.94,27,47.61
Japan,0.16,0.35,2.54,79.72,58.9,0.72,46.03,55,59.01
Jordan,1.08,8.15,9.78,79.72,79.5,0.68,93.72,13,79.44
Kazakhstan,-1.11,1.59,4.27,55.95,72.8,0.94,40.2,86,84.07
Kenya,5.88,1.07,2.96,69.29,73.4,0.7,94.17,47,86.84
Kiribati,1.65,7.05,12.83,66.16,75.0,0.49,84.16,25,75.52
Kuwait,7.37,3.74,14.31,85.05,74.5,0.7,50.54,14,80.65
Kyrgyzstan,4.45,5.9,4.28,97.56,83.7,0.82,54.06,55,29.47
Laos,0.16,3.88,13.18,73.12,62.8,0.7,43.17,24,79.68
Latvia,5.93,0.79,11.47,50.02,75.4,0.7,74.75,78,30.56
Lebanon,7.33,9.33,6.78,84.2,66.6,0.66,42.47,50,72.14
Lesotho,4.29,3.66,2.16,89.22,62.1,0.87,50.03,60,21.42
Liberia,-1.4,2.49,9.21,61.64,62.7,0.48,69.87,69,45.81
Libya,-1.18,0.74,9.46,94.23,61.8,0.45,64.28,33,67.0
Liechtenstein,-0.43,1.36,8.46,70.06,63.1,0.63,94.91,68,59.03
Lithuania,7.71,8.68,7.98,63.72,82.7,0.45,79.6,50,16.8
Luxembourg,0.61,7.39,4.02,79.67,73.8,0.56,32.51,61,46.93
Madagascar,0.43,7.55,13.66,75.22,63.4,0.62,36.42,71,81.25
Malawi,5.06,1.27,6.94,53.93,62.5,0.51,54.61,51,38.94
Malaysia,-1.95,4.09,3.66,76.64,68.5,0.68,43.07,20,38.0
Maldives,6.91,8.68,6.95,94.74,66.6,0.57,74.56,31,35.27
Mali,3.43,1.44,13.86,57.83,59.7,0.49,79.42,74,20.63
Malta,2.88,1.21,10.21,64.71,76.1,0.59,52.66,73,57.95
Marshall Islands,4.34,0.38,8.1,82.98,59.4,0.91,32.48,63,19.86
Mauritania,6.69,7.2,4.21,52.22,75.5,0.92,74.08,42,50.36
Mauritius,1.61,8.7,6.03,69.06,69.7,0.87,82.09,88,41.26
Mexico,1.26,7.21,14.48,72.7,85.0,0.63,36.28,13,46.77
Micronesia,7.08,9.27,9.58,95.26,67.5,0.86,30.24,94,42.46
Moldova,5.21,7.83,10.85,85.21,80.5,0.39,39.9,72,78.47
Mongolia,1.99,4.73,2.4,90.04,61.4,0.55,85.48,66,62.76
Montenegro,4.31,0.08,9.25,89.2,78.0,0.68,63.65,33,65.97
Morocco,6.81,4.98,2.76,66.19,63.4,0.44,68.54,69,33.58
Mozambique,4.55,5.8,4.2,87.4,82.4,0.4,50.36,62,28.63
Myanmar,5.75,9.77,11.33,73.16,60.8,0.51,76.79,79,26.21
Namibia,2.71,8.57,6.9,77.96,63.9,0.62,40.48,57,43.55
Nauru,1.21,4.73,14.14,85.03,56.8,0.5,84.4,99,72.02
Nepal,6.94,6.72,5.51,88.83,68.7,0.38,63.44,15,53.89
Netherlands,0.78,3.52,10.02,77.35,58.4,0.51,46.35,91,32.95
New Zealand,4.12,2.25,11.97,62.57,56.2,0.65,32.12,31,41.16
Nicaragua,6.82,9.59,13.81,80.53,77.4,0.69,75.05,73,58.67
Niger,-0.87,2.68,14.66,85.25,62.1,0.6,42.57,25,80.37
Nigeria,7.22,3.28,9.1,91.85,57.8,0.75,89.96,90,76.28
North Korea,6.29,3.4,10.33,98.68,64.9,0.83,32.74,24,55.42
North Macedonia,3.59,9.75,6.02,60.43,58.2,0.87,48.3,93,70.37
Norway,6.82,8.32,10.61,60.64,61.7,0.53,79.8,58,77.81
Oman,1.11,6.18,4.09,91.74,71.4,0.38,88.92,47,17.42
Pakistan,3.38,2.23,12.6,90.38,74.6,0.92,45.29,43,21.87
Palau,3.9,0.16,5.44,85.45,67.1,0.92,59.95,70,19.67
Panama,5.88,3.2,2.72,90.01,73.3,0.84,53.25,13,86.65
Papua New Guinea,6.26,3.21,14.58,86.95,68.0,0.89,71.81,52,52.57
Paraguay,7.25,0.02,4.13,94.35,55.4,0.75,61.79,86,29.5
Peru,3.33,2.82,14.13,79.46,70.1,0.37,84.53,77,80.76
Philippines,0.22,3.58,9.24,65.39,83.1,0.6,61.77,76,18.51
Poland,3.11,0.1,9.65,58.41,72.6,0.38,56.39,94,19.37
Portugal,7.39,5.55,5.84,52.39,58.8,0.51,93.65,64,87.88
Qatar,1.53,1.69,6.18,87.8,75.6,0.42,36.11,55,30.84
Romania,6.64,5.34,4.03,86.55,61.3,0.69,36.89,46,69.09
Russia,5.01,8.34,8.66,92.74,73.2,0.76,36.74,36,28.65
Rwanda,0.74,7.89,11.41,88.57,83.7,0.8,79.48,64,63.19
Saint Kitts and Nevis,7.41,4.29,10.97,94.46,67.4,0.76,30.82,30,29.65
Saint Lucia,4.67,7.05,3.74,89.52,79.1,0.69,81.39,64,81.1
Saint Vincent and the Grenadines,-1.62,4.88,3.17,95.09,64.8,0.63,45.4,78,77.51
Samoa,1.17,4.1,5.4,72.31,60.1,0.52,47.62,32,16.83
San Marino,3.07,7.93,3.03,60.28,62.0,0.61,53.75,48,68.09
Sao Tome and Principe,3.74,2.62,8.27,99.19,62.7,0.67,72.9,28,27.24
Saudi Arabia,7.04,6.24,6.94,58.55,56.0,0.35,67.97,77,81.7
Senegal,1.85,0.01,4.43,60.03,61.3,0.79,93.09,73,82.89
Serbia,0.42,6.09,6.09,85.95,60.9,0.81,59.73,74,35.23
Seychelles,3.95,1.21,12.54,70.25,57.0,0.95,66.84,43,78.19
Sierra Leone,2.91,0.04,13.59,63.28,55.4,0.47,35.17,55,74.39
Singapore,-0.47,4.77,4.67,86.41,76.2,0.72,83.15,29,63.49
Slovakia,3.84,4.24,2.24,64.11,77.2,0.72,65.91,19,69.66
Slovenia,-0.37,9.76,10.23,55.0,55.7,0.82,84.98,65,39.32
Solomon Islands,7.41,8.79,6.72,68.89,79.5,0.42,49.52,58,38.46
Somalia,-0.93,6.09,7.92,52.75,77.2,0.53,33.25,77,61.03
South Africa,-1.2,7.36,11.39,52.01,56.9,0.82,86.97,19,51.84
South Korea,-1.58,9.67,14.96,69.98,74.1,0.6,35.92,82,53.05
South Sudan,4.08,2.28,11.64,85.0,66.3,0.75,41.44,30,40.88
Spain,6.89,3.06,8.51,81.03,75.6,0.37,88.12,38,80.12
Sri Lanka,-0.29,7.4,3.64,77.5,70.8,0.57,42.42,46,17.99
Sudan,5.3,4.56,4.4,66.54,67.5,0.36,90.71,15,33.03
Suriname,0.7,9.33,2.27,79.98,58.3,0.53,32.52,17,22.55
Sweden,-1.25,0.45,3.07,66.24,55.2,0.93,56.17,40,44.11
Switzerland,1.85,8.44,8.65,91.16,79.5,0.43,53.53,48,31.18
Syria,5.24,8.24,6.51,54.41,71.8,0.62,58.85,83,63.61
Taiwan,5.4,9.73,6.32,80.07,78.3,0.83,86.91,37,22.67
Tajikistan,0.27,4.22,2.41,73.43,61.8,0.87,37.47,41,36.25
Tanzania,5.34,4.61,9.29,75.03,71.8,0.78,60.24,39,23.99
Thailand,2.23,9.73,3.54,64.23,84.4,0.68,37.52,67,65.43
Timor-Leste,-1.89,9.63,8.45,88.23,77.2,0.47,33.04,54,30.09
Togo,2.37,4.54,3.67,86.68,63.4,0.91,79.8,87,19.71
Tonga,-0.01,8.33,2.3,65.52,67.5,0.78,83.46,32,36.9
Trinidad and Tobago,6.31,7.53,8.57,83.69,62.9,0.55,59.82,51,38.44
Tunisia,3.66,4.13,13.71,77.44,80.3,0.81,43.41,63,52.99
Turkey,-1.03,7.47,6.92,74.17,59.3,0.91,37.56,23,37.48
Turkmenistan,0.15,0.06,9.63,91.92,76.8,0.76,92.87,46,75.85
Tuvalu,7.83,1.51,4.85,65.92,66.2,0.87,33.19,18,86.05
Uganda,1.07,8.79,12.79,95.91,84.6,0.89,80.18,70,32.11
Ukraine,1.62,3.13,13.14,74.4,61.4,0.56,78.9,58,47.42
United Arab Emirates,6.61,8.67,4.54,98.96,69.2,0.4,68.17,43,52.82
United Kingdom,1.9,4.07,13.21,94.68,59.0,0.91,69.93,54,80.39
United States,0.07,2.26,12.84,92.76,71.4,0.38,87.32,10,54.1
Uruguay,0.96,5.39,14.31,84.64,83.1,0.5,79.22,51,81.99
Uzbekistan,0.17,1.77,9.7,61.75,78.9,0.65,76.55,89,41.5
Vanuatu,-1.34,4.19,3.63,83.09,73.4,0.54,87.05,34,23.2
Vatican City,1.92,3.25,6.53,74.83,67.6,0.86,54.83,52,79.61
Venezuela,6.22,4.05,12.83,59.91,81.7,0.66,39.67,92,18.37
Vietnam,7.38,3.31,5.7,65.68,61.5,0.55,39.48,40,30.22
Yemen,-0.98,6.36,4.36,62.53,70.9,0.44,53.49,54,45.9
Zambia,3.08,8.52,14.77,86.01,84.6,0.89,71.04,20,86.02
Zimbabwe,4.7,3.5,6.84,87.83,76.3,0.38,93.1,24,45.76
